symbol,price
HIVEUSDT,0.43620000
CHRBNB,0.00084660
CHRBTC,0.00000601
CHRUSDT,0.41160000
BTCUPUSDT,16.60000000
BTCDOWNUSDT,0.00118500
GXSUSDT,1.79230000
ARDRUSDT,0.12030000
ERDBUSD,0.01966100
LENDUSDT,0.51431000
HBARBUSD,0.06020000
MATICBUSD,0.86590000
WRXBUSD,0.11050000
ZILBUSD,0.01583000
MDTBNB,0.00073720
MDTBTC,0.00000193
MDTUSDT,0.13225000
STMXBTC,0.00000016
STMXETH,0.00000292
STMXUSDT,0.01100800
KNCBUSD,0.63700000
KNCUSDT,0.86150000
REPBUSD,13.67300000
REPUSDT,4.73000000
LRCBUSD,0.17280000
LRCUSDT,0.36230000
IQBNB,0.00002243
IQBUSD,0.00502000
PNTBTC,0.00000864
PNTUSDT,0.20820000
BTCGBP,35986.75000000
ETHGBP,1974.32000000
XRPGBP,0.52570000
BNBGBP,267.40000000
GBPBUSD,1.23900000
DGBBTC,0.00000022
DGBBUSD,0.00632000
BTCUAH,3100833.00000000
USDTUAH,45.33000000
COMPBTC,0.00132000
COMPBNB,5.71900000
COMPBUSD,45.79000000
COMPUSDT,90.46000000
BTCBIDR,1075005931.00
ETHBIDR,61542468.00
BNBBIDR,3335250.00
BUSDBIDR,15559.00
USDTBIDR,15731.00
BKRWUSDT,0.00084530
BKRWBUSD,0.00084550
SCUSDT,0.00957200
ZENUSDT,13.12000000
SXPBTC,0.00000748
SXPBNB,0.00104700
SXPBUSD,0.37210000
SNXBTC,0.00006485
SNXBNB,0.01057000
SNXBUSD,1.93600000
SNXUSDT,4.43500000
ETHUPUSDT,11.65100000
ETHDOWNUSDT,0.04570000
ADAUPUSDT,0.10400000
ADADOWNUSDT,0.00191700
LINKUPUSDT,0.00608000
LINKDOWNUSDT,0.00089500
VTHOBNB,0.00000673
VTHOBUSD,0.00071800
VTHOUSDT,0.00457100
DCRBUSD,16.03500000
DGBUSDT,0.01544000
GBPUSDT,1.18000000
STORJBUSD,0.23710000
SXPUSDT,0.51160000
IRISBNB,0.00166200
IRISBTC,0.00000061
IRISBUSD,0.06080000
MKRBNB,6.90300000
MKRBTC,0.03610000
MKRUSDT,2472.00000000
MKRBUSD,1293.00000000
DAIBNB,0.04876000
DAIBTC,0.00008966
DAIUSDT,1.01890000
DAIBUSD,1.01810000
RUNEBNB,0.01547200
RUNEBTC,0.00010983
RUNEBUSD,5.46200000
MANABUSD,0.43880000
DOGEBUSD,0.09742000
LENDBUSD,0.51530000
ZRXBUSD,0.16890000
DCRUSDT,27.28000000
STORJUSDT,0.88060000
XRPBKRW,319.76000000
ADABKRW,327.55000000
BTCAUD,37210.08000000
ETHAUD,2565.09000000
AUDBUSD,0.72550000
FIOBNB,0.00017080
FIOBTC,0.00000064
FIOBUSD,0.01922000
BNBUPUSDT,61.80000000
BNBDOWNUSDT,0.00215100
XTZUPUSDT,0.00255100
XTZDOWNUSDT,2.60010000
AVABNB,0.00218800
AVABTC,0.00001310
AVABUSD,0.47000000
USDTBKRW,1125.00000000
BUSDBKRW,1097.18000000
IOTABUSD,0.14310000
MANAUSDT,0.75700000
XRPAUD,0.70000000
BNBAUD,421.10000000
AUDUSDT,0.72520000
BALBNB,0.42580000
BALBTC,0.00008490
BALBUSD,3.15000000
